,IsRecentlyVerified,DateLastVerified,ID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageCost,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.RelatedURL,AddressInfo.DistanceUnit,UsageTypeID,AddressInfo.ContactTelephone2,DateLastConfirmed
6995,False,2016-06-04T02:54:00Z,38387,26,46756,73.0,EV-Box EVB-P1412053,0.00 jaarabonnement,"[{'ID': 41898, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 49650, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38733,Katerdijk,Katerdijk,Zwolle,8011 BW,159,52.51505,6.08398,http://www.ev-box.nl,0,,,
6996,False,2016-06-04T02:54:00Z,64025,26,82570,157.0,NewMotion 03001863,0.00 jaarabonnement,"[{'ID': 81854, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-03-03T12:32:00Z,100,64371,Burg. Roelenweg 15,Burg. Roelenweg 15,Zwolle,8031 ES,159,52.5178229,6.08377050000001,http://thenewmotion.nl/,0,,,
6997,False,2016-06-04T02:54:00Z,64030,26,78948,73.0,EV-Box EVB-P1539231,0.00 jaarabonnement,"[{'ID': 81861, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 81862, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 81863, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 81864, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 95537, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 95538, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2016-03-03T12:32:00Z,100,64376,Pedro de Medinalaan 51,Pedro de Medinalaan 51,Amsterdam,1086 XP,159,52.52168,6.08456,http://www.ev-box.nl,0,,,
6998,False,2016-06-04T02:54:00Z,38392,26,49534,,Gemeente Zwolle Noordereiland,0.00 onbekend,"[{'ID': 41903, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 3.7, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38738,Noordereiland,Noordereiland,Zwolle,8011 ZX,159,52.51583565764,6.0956928133965,http://www.zwolle.nl,0,,,
6999,False,2016-06-04T02:54:00Z,38408,26,48205,178.0,EVnetNL EV0089,0.00 jaarabonnement,"[{'ID': 41919, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:54:00Z,3.0,2015-01-09T06:07:00Z,100,38754,Van Wevelinkhovenstraat,Van Wevelinkhovenstraat,Zwolle,8022 CM,159,52.520256,6.10412,http://www.evnet.nl,0,,,
7000,False,2016-06-04T02:55:00Z,65775,26,86216,103.0,Allego NLALLEGO0011332,0.00 jaarabonnement,"[{'ID': 90824, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}, {'ID': 90825, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 11.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2016-04-27T09:42:00Z,100,66121,Reggelaan 98,Reggelaan 98,Zwolle,8033 AX,159,52.53526826,6.11140841,http://www.allego.eu/,0,,,
7001,False,2016-06-04T02:54:00Z,51036,26,66230,157.0,NewMotion ICUEVE000633,0.00 jaarabonnement,"[{'ID': 63088, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 10}, {'ID': 63089, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 10}]",2.0,50,2016-06-04T02:54:00Z,3.0,2015-07-22T09:54:00Z,100,51382,Schrevenweg 2,Schrevenweg 2,Zwolle,8024 HA,159,52.5259774073278,6.12897682883613,http://thenewmotion.nl/,0,,,
7002,False,2016-06-04T02:55:00Z,42130,26,59678,157.0,NewMotion 03000024,0.00 jaarabonnement,"[{'ID': 50580, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-02-23T03:16:00Z,100,42476,Bentheimstraat,Bentheimstraat,Zwolle,8028 RT,159,52.5323715209961,6.16178178787232,http://thenewmotion.nl/,0,,,
7003,False,2016-06-04T02:55:00Z,42128,26,59671,157.0,NewMotion 03000026,0.00 jaarabonnement,"[{'ID': 50578, 'ConnectionTypeID': 25, 'LevelID': 2, 'PowerKW': 22.0, 'CurrentTypeID': 10}]",1.0,50,2016-06-04T02:55:00Z,3.0,2015-02-23T03:16:00Z,100,42474,Bentheimstraat,Bentheimstraat,Zwolle,8028 RT,159,52.5322685241699,6.16169595718384,http://thenewmotion.nl/,0,,,
7004,False,2020-11-18T06:47:00Z,59149,1,,23.0,6704,€0.25/kWh; andere tarieven voor oudere auto's,"[{'ID': 75090, 'ConnectionTypeID': 27, 'StatusTypeID': 50, 'LevelID': 3, 'Voltage': 400, 'PowerKW': 120.0, 'CurrentTypeID': 30, 'Quantity': 24}]",24.0,50,2020-11-18T06:47:00Z,1.0,2016-01-09T00:02:00Z,200,59495,Tesla Supercharger Zwolle,"Van der Valk Hotel Zwolle, Nieuwleusenerdijk 1",Zwolle,8028 PH,159,52.5322920549193,6.15845918655396,http://www.teslamotors.com,0,4.0,,
